 Timecode, m      
11/05/2023 16:14,5.212.087
11/05/2023 16:14,5.201.301
11/05/2023 16:14,5.267.536
11/05/2023 16:14,5.327.566
11/05/2023 16:14,5.390.631
11/05/2023 16:14,5.450.581
11/05/2023 16:14,5.421.379
11/05/2023 16:14,5.361.411
11/05/2023 16:14,5.335.259
11/05/2023 16:14,5.230.574
11/05/2023 16:14,5.181.267
11/05/2023 16:14,5.353.720
11/05/2023 16:14,5.544.274
11/05/2023 16:14,5.516.636
11/05/2023 16:14,5.344.490
11/05/2023 16:14,5.256.757
11/05/2023 16:14,5.242.896
11/05/2023 16:14,5.222.871
11/05/2023 16:14,5.336.798
11/05/2023 16:14,5.464.410
11/05/2023 16:14,5.484.382
11/05/2023 16:14,5.415.231
11/05/2023 16:14,5.330.643
11/05/2023 16:14,5.253.677
11/05/2023 16:14,5.176.643
11/05/2023 16:14,5.195.137
11/05/2023 16:14,5.273.695
11/05/2023 16:14,5.430.602
11/05/2023 16:14,5.541.204
11/05/2023 16:14,5.501.278
11/05/2023 16:14,5.387.556
11/05/2023 16:14,5.229.033
11/05/2023 16:14,5.139.641
11/05/2023 16:14,5.215.168
11/05/2023 16:14,5.359.873
11/05/2023 16:14,5.439.824
11/05/2023 16:14,5.467.483
11/05/2023 16:14,5.387.556
11/05/2023 16:14,5.267.536
11/05/2023 16:14,5.258.297
11/05/2023 16:14,5.293.708
11/05/2023 16:15,5.342.952
11/05/2023 16:15,5.353.720
11/05/2023 16:15,5.342.952
11/05/2023 16:15,5.378.329
11/05/2023 16:15,5.413.693
11/05/2023 16:15,5.376.791
11/05/2023 16:15,5.296.786
11/05/2023 16:15,5.245.977
11/05/2023 16:15,5.339.875
11/05/2023 16:15,5.379.867
11/05/2023 16:15,5.378.329
11/05/2023 16:15,5.399.857
11/05/2023 16:15,5.392.169
11/05/2023 16:15,5.389.094
11/05/2023 16:15,5.316.794
11/05/2023 16:15,5.278.313
11/05/2023 16:15,5.369.102
11/05/2023 16:15,5.356.797
11/05/2023 16:15,5.327.566
11/05/2023 16:15,5.389.094
11/05/2023 16:15,5.421.379
11/05/2023 16:15,5.379.867
11/05/2023 16:15,5.355.258
11/05/2023 16:15,5.353.720
11/05/2023 16:15,5.338.336
11/05/2023 16:15,5.306.021
11/05/2023 16:15,5.293.708
11/05/2023 16:15,5.309.099
11/05/2023 16:15,5.416.768
